POSTCODE,TOWNNAME,SUBURBNAME,STREETNAME,HOUSENUMBER,CUSTOM1,SORTINFO
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2E, STREET,20204218
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2G, STREET,20204219
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,285, HIGHWAY,20204220
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,287, HIGHWAY,20204221
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2B, STREET,20204222
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2F, STREET,20204223
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2H, STREET,20204224
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/4, STREET,20204225
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/4, STREET,20204226
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/4, STREET,20204227
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/6, STREET,20204228
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/6, STREET,20204229
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/6, STREET,20204230
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/8, STREET,20204231
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/8, STREET,20204232
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/8, STREET,20204233
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/10, STREET,20204234
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/10, STREET,20204235
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/12, STREET,20204236
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/10, STREET,20204237
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/12, STREET,20204238
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/14, STREET,20204239
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,4/14, STREET,20204240
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/14, STREET,20204241
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/14, STREET,20204242
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/16, STREET,20204243
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/16, STREET,20204244
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,4/16, STREET,20204245
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/16, STREET,20204246
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/18, STREET,20204247
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/18, STREET,20204248
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,4/18, STREET,20204249
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/18, STREET,20204250
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/20, STREET,20204251
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,4/20, STREET,20204252
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/20, STREET,20204253
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/20, STREET,20204254
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/22, STREET,20204255
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/22, STREET,20204256
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,4/22, STREET,20204257
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,5/22, STREET,20204258
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,1/22, STREET,20204259
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3/24, STREET,20204260
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,4/24, STREET,20204261
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,24A, STREET,20204262
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2/24, STREET,20204263
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,26, STREET,20204264
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,25B, STREET,20204265
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,25A, STREET,20204266
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,23, STREET,20204267
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,3, STREET,20204268
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,279, HIGHWAY,20204269
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,277A, HIGHWAY,20204270
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,277B, HIGHWAY,20204271
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,277C, HIGHWAY,20204272
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,275, HIGHWAY,20204273
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,273B, HIGHWAY,20204274
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,273, HIGHWAY,20204275
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,3/271, HIGHWAY,20204276
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,2/271, HIGHWAY,20204277
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,4/271, HIGHWAY,20204278
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,1/271, HIGHWAY,20204279
